start	end	text
0	6880	Bonjour et bienvenue à Making Music in ShaderToy.
6880	13480	Je m'appelle Alexis Thibault et aujourd'hui, je vais parler de comment on peut utiliser ShaderToy
13480	19920	pour créer des waveforms, des enveloppes et commencer à faire de la musique en utilisant
19920	22680	l'application du son.
22680	28380	Si vous ne connaissez pas ShaderToy déjà, c'est un site pour créer des shaders pixels
28380	38420	qui compilent en parallèle sur le GPU le couleur de chaque pixel sur l'écran en utilisant
38420	42740	la même pièce de code pour chaque pixel.
42740	48020	Si vous êtes intéressé par les graphiques de computers, les effets visuels, les scènes
48020	55060	de démon, le rendement ou autre chose comme ça, je vous recommande de les voir.
55060	61900	Mais ce que nous sommes intéressés aujourd'hui est en particulier les capacités de son son.
61900	66500	Donc, allons-y et créons un nouveau shader.
66500	74340	Donc, ici, nous avons la partie visuelle dans laquelle la fonction principale est appelée
74340	84100	mainImage et prend des coordonnées et exécutent un bunch de codes pour chaque de ces coordonnées.
84140	90700	Le tab de son, que vous pouvez ajouter en cliquant sur ce petit « plus » ici,
90700	100580	crée un nouveau morceau de codes dans lequel la fonction est appelée mainSound et, à l'inverse,
100580	103100	prend du temps.
103100	114500	Et donc, pour chaque morceau, il exécutera un morceau de codes pour calculer le valeur du son
114500	118900	à ce morceau, à ce morceau particulier.
118900	123980	Alors, qu'est-ce qu'on a ici ? C'est supposé être un vecteur 2.
123980	128140	Donc, vecteur 2 signifie un vecteur avec deux coordonnées.
128180	134380	La coordonnée X correspond à l'écran de gauche et la coordonnée Y à l'écran de droite.
134380	141580	En ce cas, nous avons quelque chose qui n'est qu'un valeur flottante.
141580	146700	Ce que vous obtenez, c'est le même valeur pour X et Y, et donc vous obtenez un signe mono.
146700	150860	Maintenant, allons-y faire un regard plus proche de cet exemple.
150860	157300	Il dit « une vague de 440 Hz qui s'atténue rapidement à travers le temps. »
157460	158460	Allons-y écouter.
163460	169820	Alors, ce qu'on entend, c'est une vague avec une fréquence définie claire et une enveloppe
169820	170820	décalée.
170820	179180	Alors, qu'est-ce qu'on peut lire dans le code ? Nous avons une vague de signe, avec ce numéro,
179180	186940	qui apparaît être 2 pi, et nous l'utiliserons beaucoup, donc allons-y directement créer
186940	194860	un macro pour ça, « Define 2 pi ».
194860	202060	Et ensuite, nous obtenons une fréquence de 440 Hz, et ensuite le temps.
202060	208260	J'aime le nom de temps T parce que c'est plus court.
208260	212660	Donc ici, si nous changeons la valeur de la fréquence, nous aurons différentes notes.
212860	214620	Allons-y essayer ça.
214620	216900	Allons-y essayer une valeur plus élevée.
224900	233100	Donc, nous entendons que la note est plus élevée en pitch quand nous utilisons des valeurs plus élevées
233100	234100	pour la fréquence.
234100	248740	Conversement, si nous mettons des valeurs plus élevées, nous pouvons obtenir des notes plus élevées,
248740	255140	qui peut être ou ne peut pas être possible d'entendre, dépendant du système d'audio que vous utilisez.
255140	260660	Ok, allons-y revenir à la fréquence de 440 Hz.
260660	262660	Et maintenant, qu'est-ce que c'est ?
262660	265660	C'est l'enveloppe.
265660	272660	Et pour visualiser l'enveloppe, ce que j'aime utiliser, c'est le GraphToy.
272660	283660	graphtoy.com est un autre site par le même créateur que shader-toy.com, qui est à Inigoculars.
284660	291660	GraphToy permet de placer des fonctions différentes, comme vous le souhaitez.
291660	297660	Et c'est très pratique quand vous codez ce genre de choses.
297660	301660	Alors, allons-y placer notre enveloppe.
301660	306660	Je vais zoomer pour avoir un 0 et un 1 ici.
306660	312660	Et allons-y placer l'exponential minus 3 x x.
312660	315660	Donc, ce qu'on obtient, c'est une enveloppe de décalage,
315660	319660	qui commence, comme x equal à 0, à 1,
319660	323660	puis décale et s'envole jusqu'à 0 assez rapidement.
323660	332660	Elle ne s'envole pas assez, mais elle devient inaudible après quelques secondes.
332660	337660	Ce genre de décalage apparaît très naturel,
337660	340660	parce que c'est comme ça qu'il se passe dans le monde réel,
340660	344660	quand vous avez presque n'importe quoi.
344660	350660	Si vous avez un cordon de guitare ou un instrument de percussion,
350660	355660	la plupart du temps, le décalage va tendre à être exponentiel dans le temps.
355660	359660	Alors, qu'est-ce que la coefficient 3 fait ici ?
359660	362660	Elle nous dit la vitesse de la décalage.
362660	365660	Si nous mettons un numéro plus haut,
365660	368660	nous aurons quelque chose qui décale très rapidement.
368660	371660	Et si nous mettons un numéro plus bas,
371660	374660	nous aurons quelque chose qui décale plus lentement.
376660	381660	Donc, nous pouvons faire ça et essayer d'entendre ce qu'elle fait.
381660	384660	On fait un décalage rapide
386660	388660	et un décalage lent.
388660	392660	OK. Vous avez peut-être remarqué que ce son est assez lourd.
392660	397660	La raison est qu'il atteint en fait le minus 1 et le plus 1,
397660	402660	les valeurs minimales et maximales possibles,
402660	407660	autorisées pour les outputs de son son.
407660	411660	Si nous mettons un numéro plus bas,
411660	415660	nous aurons quelque chose qui décale très rapidement.
416660	422660	Si nous essayons de mettre des valeurs plus grosses que 1
422660	425660	ou plus petites que le minus 1,
425660	428660	nous aurons quelque chose qui décale plus lentement.
428660	431660	Et en général, c'est une mauvaise idée.
431660	436660	Il détorte le son et il a tendance à sonner très mal.
439660	442660	C'est inconvénient si nous aimerions
442660	445660	que plusieurs sons soient joués en même temps,
445660	448660	parce que cela pourrait décaler.
449660	453660	Donc, on décale l'amplitude de ce signal.
453660	456660	On le multiplie par 0,1.
456660	459660	Et c'est le terme de l'amplitude,
459660	463660	qui peut être considéré comme une partie de l'enveloppe, si vous le voulez.
466660	469660	Maintenant, il joue tranquillement.
469660	472660	D'accord.
472660	475660	J'aime cet exemple.
475660	478660	Faisons-le une fonction.
478660	481660	C'est une float.
481660	485660	Je vais l'appeler float et je vais l'appeler signplug,
485660	489660	parce que ça ressemble à plugger un string.
489660	492660	D'accord.
498660	504660	Disons que nous ferons que ce soit dépendant d'une fréquence, F.
504660	507660	Donc, on va le remplacer par F.
507660	510660	Et un temps en T.
510660	515660	Et on va laisser l'amplitude être un décalé médium.
516660	519660	D'accord, maintenant, ce que j'aime faire
519660	522660	pour pouvoir ajouter plusieurs sons ensemble,
522660	524660	c'est de définir l'effet 2,
524660	526660	que j'appelle sig,
526660	529660	et que j'initialise en 0.
529660	532660	Et ensuite, nous pouvons ajouter des choses à sig,
532660	534660	et retourner au sig.
534660	537660	Alors, qu'est-ce que je mets dans mon signal ?
537660	541660	Je peux mettre un signplug
541660	546660	à la fréquence de 440 Hz en temps en T.
546660	551660	Et ça nous donnera le son que nous avons déjà entendu avant.
554660	560660	Et je peux aussi mettre un autre son.
562660	567660	Disons que j'ai 660 Hz.
